t,link_count,changed,add_edges,del_edges
1069,583,0,0,0
1070,583,0,0,0
1071,583,0,0,0
1072,583,0,0,0
1073,583,0,0,0
1074,583,0,0,0
1075,583,0,0,0
1076,583,0,0,0
1077,583,0,0,0
1078,583,0,0,0
1079,583,0,0,0
1080,583,0,0,0
1081,583,0,0,0
1082,583,0,0,0
1083,583,0,0,0
1084,583,0,0,0
1085,583,0,0,0
1086,583,0,0,0
1087,583,0,0,0
1088,583,0,0,0
1089,583,0,0,0
1090,583,0,0,0
1091,583,0,0,0
1092,583,0,0,0
1093,583,0,0,0
1094,583,0,0,0
1095,583,0,0,0
1096,583,0,0,0
1097,583,0,0,0
1098,583,0,0,0
1099,583,0,0,0
1100,583,0,0,0
1101,583,0,0,0
1102,583,0,0,0
1103,583,0,0,0
1104,583,0,0,0
1105,583,0,0,0
1106,583,0,0,0
1107,583,0,0,0
1108,583,0,0,0
1109,583,0,0,0
1110,583,0,0,0
1111,583,0,0,0
1112,583,0,0,0
1113,583,0,0,0
1114,583,0,0,0
1115,583,0,0,0
1116,583,0,0,0
1117,583,0,0,0
1118,583,0,0,0
1119,583,0,0,0
1120,583,0,0,0
1121,583,0,0,0
1122,583,0,0,0
1123,589,1,6,0
1124,589,0,0,0
1125,589,0,0,0
1126,589,0,0,0
1127,589,0,0,0
1128,589,0,0,0
1129,589,0,0,0
1130,589,0,0,0
1131,589,0,0,0
1132,589,0,0,0
1133,589,0,0,0
1134,589,0,0,0
1135,589,0,0,0
1136,589,0,0,0
1137,589,0,0,0
1138,589,0,0,0
1139,589,0,0,0
1140,589,0,0,0
1141,589,0,0,0
1142,589,0,0,0
1143,589,0,0,0
1144,585,1,0,4
1145,585,0,0,0
1146,585,0,0,0
1147,585,0,0,0
1148,585,0,0,0
1149,585,0,0,0
1150,585,0,0,0
1151,585,0,0,0
1152,585,0,0,0
1153,585,0,0,0
1154,585,0,0,0
1155,585,0,0,0
1156,585,0,0,0
1157,585,0,0,0
1158,585,0,0,0
1159,585,0,0,0
1160,585,0,0,0
1161,585,0,0,0
1162,585,0,0,0
1163,585,0,0,0
1164,585,0,0,0
1165,585,0,0,0
1166,585,0,0,0
1167,585,0,0,0
1168,585,0,0,0
1169,585,0,0,0
1170,585,0,0,0
1171,585,0,0,0
1172,568,1,0,17
1173,568,0,0,0
1174,568,0,0,0
1175,568,0,0,0
1176,568,0,0,0
1177,568,0,0,0
1178,568,0,0,0
1179,568,0,0,0
1180,568,0,0,0
1181,568,0,0,0
1182,568,0,0,0
1183,568,0,0,0
1184,568,0,0,0
1185,568,0,0,0
1186,568,0,0,0
1187,568,0,0,0
1188,568,0,0,0
1189,568,0,0,0
1190,568,0,0,0
1191,568,0,0,0
1192,568,0,0,0
1193,568,0,0,0
1194,568,0,0,0
1195,568,0,0,0
1196,568,0,0,0
1197,568,0,0,0
1198,568,0,0,0
1199,568,0,0,0
1200,568,0,0,0
1201,568,0,0,0
1202,568,0,0,0
1203,568,0,0,0
1204,559,1,7,16
1205,559,0,0,0
1206,559,0,0,0
1207,559,0,0,0
1208,559,0,0,0
1209,559,0,0,0
1210,559,0,0,0
1211,559,0,0,0
1212,559,0,0,0
1213,559,0,0,0
1214,559,0,0,0
1215,559,0,0,0
1216,559,0,0,0
1217,559,0,0,0
1218,559,0,0,0
1219,559,0,0,0
1220,559,0,0,0
1221,559,0,0,0
1222,559,0,0,0
1223,559,0,0,0
1224,559,0,0,0
1225,559,0,0,0
1226,559,0,0,0
1227,559,0,0,0
1228,559,0,0,0
1229,559,0,0,0
1230,559,0,0,0
1231,559,0,0,0
1232,579,1,27,7
1233,579,0,0,0
1234,579,0,0,0
1235,579,0,0,0
1236,579,0,0,0
1237,579,0,0,0
1238,579,0,0,0
1239,579,0,0,0
1240,579,0,0,0
1241,579,0,0,0
1242,579,0,0,0
1243,579,0,0,0
1244,579,0,0,0
1245,579,0,0,0
1246,579,0,0,0
1247,579,0,0,0
1248,579,0,0,0
1249,579,0,0,0
1250,579,0,0,0
1251,579,0,0,0
1252,579,0,0,0
1253,579,0,0,0
1254,579,0,0,0
1255,579,0,0,0
1256,579,0,0,0
1257,579,0,0,0
1258,579,0,0,0
1259,579,0,0,0
1260,579,0,0,0
1261,579,0,0,0
1262,579,0,0,0
1263,579,0,0,0
1264,580,1,8,7
1265,580,0,0,0
1266,580,0,0,0
1267,580,0,0,0
1268,580,0,0,0
1269,580,0,0,0
1270,580,0,0,0
1271,580,0,0,0
1272,580,0,0,0
1273,580,0,0,0
1274,580,0,0,0
1275,580,0,0,0
1276,580,0,0,0
1277,580,0,0,0
1278,580,0,0,0
1279,580,0,0,0
1280,580,0,0,0
1281,580,0,0,0
1282,580,0,0,0
1283,580,0,0,0
1284,580,0,0,0
1285,580,0,0,0
1286,580,0,0,0
1287,580,0,0,0
1288,580,0,0,0
1289,580,0,0,0
1290,580,0,0,0
1291,580,0,0,0
1292,587,1,7,0
1293,587,0,0,0
1294,587,0,0,0
1295,587,0,0,0
1296,587,0,0,0
1297,587,0,0,0
1298,587,0,0,0
1299,587,0,0,0
1300,587,0,0,0
1301,587,0,0,0
1302,587,0,0,0
1303,587,0,0,0
1304,587,0,0,0
1305,587,0,0,0
1306,587,0,0,0
1307,587,0,0,0
1308,587,0,0,0
1309,587,0,0,0
1310,587,0,0,0
1311,587,0,0,0
1312,587,0,0,0
1313,587,0,0,0
1314,587,0,0,0
1315,587,0,0,0
1316,587,0,0,0
1317,587,0,0,0
1318,587,0,0,0
1319,587,0,0,0
1320,587,0,0,0
1321,587,0,0,0
1322,587,0,0,0
1323,587,0,0,0
1324,595,1,8,0
1325,595,0,0,0
1326,595,0,0,0
1327,595,0,0,0
1328,595,0,0,0
1329,595,0,0,0
1330,595,0,0,0
1331,595,0,0,0
1332,595,0,0,0
1333,595,0,0,0
1334,595,0,0,0
1335,595,0,0,0
1336,595,0,0,0
1337,595,0,0,0
1338,595,0,0,0
1339,568,1,0,27
1340,568,0,0,0
1341,568,0,0,0
1342,568,0,0,0
1343,568,0,0,0
1344,568,0,0,0
1345,568,0,0,0
1346,568,0,0,0
1347,568,0,0,0
1348,568,0,0,0
1349,568,0,0,0
1350,568,0,0,0
1351,568,0,0,0
1352,568,0,0,0
1353,568,0,0,0
